enquiry_id,date,channel,enquiry_type,response_time_hours,agent_id,property_id,converted
ENQ-00105,2025-09-08,Contact Form,Pricing Question,15.8,Agent_02,RK-0265,False
ENQ-00106,2024-12-07,WhatsApp,Design Consultation,0.6,Agent_38,RK-0251,True
ENQ-00107,2025-06-13,WhatsApp,Viewing Request,3.7,Agent_04,RK-0260,False
ENQ-00108,2024-10-09,Contact Form,Availability Check,10.1,Agent_41,RK-0439,True
ENQ-00109,2025-08-04,Email,Viewing Request,11.1,Agent_24,RK-0056,False
ENQ-00110,2025-03-15,WhatsApp,Pricing Question,1.8,Agent_39,RK-0189,False
ENQ-00111,2024-03-19,WhatsApp,Availability Check,0.5,Agent_34,RK-0314,True
ENQ-00112,2024-03-11,Contact Form,Complaint,11.2,Agent_22,RK-0193,False
ENQ-00113,2024-02-21,Phone,Viewing Request,0.8,Agent_09,RK-0251,False
ENQ-00114,2024-10-24,Email,General Enquiry,3.3,Agent_24,RK-0411,True
ENQ-00115,2024-03-05,Phone,Viewing Request,0.8,Agent_07,RK-0083,False
ENQ-00116,2025-11-27,Email,Pricing Question,3.8,Agent_22,RK-0459,False
ENQ-00117,2025-02-16,WhatsApp,Availability Check,5.5,Agent_30,RK-0112,False
ENQ-00118,2024-05-01,Email,Pricing Question,1.4,Agent_46,RK-0440,True
ENQ-00119,2025-07-21,Email,Pricing Question,1.0,Agent_50,RK-0381,True
ENQ-00120,2025-04-21,Email,Viewing Request,5.2,Agent_21,RK-0437,True
ENQ-00121,2024-03-01,Contact Form,Viewing Request,1.0,Agent_36,RK-0074,False
ENQ-00122,2024-09-29,WhatsApp,General Enquiry,0.7,Agent_07,RK-0108,False
ENQ-00123,2025-03-27,WhatsApp,Pricing Question,2.7,Agent_02,RK-0010,False
ENQ-00124,2024-03-21,Contact Form,Design Consultation,10.8,Agent_20,RK-0129,False
ENQ-00125,2025-05-15,Contact Form,Design Consultation,2.0,Agent_33,RK-0279,False
ENQ-00126,2025-04-05,Phone,Complaint,0.4,Agent_15,RK-0036,False
ENQ-00127,2025-12-04,Email,Design Consultation,5.6,Agent_33,RK-0336,False
ENQ-00128,2025-09-22,Contact Form,Pricing Question,11.7,Agent_03,RK-0343,False
ENQ-00129,2025-08-31,Phone,General Enquiry,2.2,Agent_32,RK-0287,False
ENQ-00130,2025-09-08,Email,Pricing Question,8.1,Agent_39,RK-0010,True
ENQ-00131,2024-08-13,WhatsApp,Availability Check,0.8,Agent_33,RK-0074,False
ENQ-00132,2025-11-12,Contact Form,General Enquiry,7.1,Agent_32,RK-0015,False
ENQ-00133,2024-10-10,Email,Pricing Question,12.9,Agent_02,RK-0127,True
ENQ-00134,2024-07-17,Contact Form,Viewing Request,4.3,Agent_26,RK-0481,False
ENQ-00135,2025-06-20,WhatsApp,Viewing Request,1.5,Agent_45,RK-0344,True
ENQ-00136,2024-04-29,Contact Form,Viewing Request,15.1,Agent_32,RK-0377,False
ENQ-00137,2025-10-10,Email,Viewing Request,6.8,Agent_30,RK-0168,False
ENQ-00138,2024-12-06,Contact Form,General Enquiry,6.5,Agent_45,RK-0401,False
ENQ-00139,2025-05-10,Email,Availability Check,1.8,Agent_14,RK-0433,True
ENQ-00140,2024-05-11,Phone,Design Consultation,0.9,Agent_43,RK-0108,True
ENQ-00141,2024-03-19,Contact Form,Viewing Request,16.5,Agent_26,RK-0436,False
ENQ-00142,2024-06-02,Email,Complaint,4.7,Agent_03,RK-0450,False
ENQ-00143,2024-09-29,Email,Pricing Question,3.0,Agent_03,RK-0363,False
ENQ-00144,2025-10-27,Contact Form,Design Consultation,22.6,Agent_07,RK-0046,False
ENQ-00145,2025-02-11,WhatsApp,Pricing Question,0.5,Agent_10,RK-0118,False
ENQ-00146,2025-03-17,Contact Form,Pricing Question,7.7,Agent_20,RK-0336,False
ENQ-00147,2024-11-29,Contact Form,Viewing Request,2.8,Agent_26,RK-0121,False
ENQ-00148,2025-07-28,Email,Availability Check,4.0,Agent_02,RK-0398,False
ENQ-00149,2025-07-14,Phone,Availability Check,1.2,Agent_24,RK-0382,False
ENQ-00150,2024-10-08,Contact Form,Pricing Question,1.0,Agent_42,RK-0457,False
ENQ-00151,2024-07-23,WhatsApp,General Enquiry,2.4,Agent_20,RK-0276,False
ENQ-00152,2024-07-01,WhatsApp,Design Consultation,11.1,Agent_16,RK-0339,False
ENQ-00153,2025-05-23,Contact Form,Pricing Question,1.6,Agent_18,RK-0012,False
ENQ-00154,2024-09-02,Contact Form,Pricing Question,5.1,Agent_48,RK-0019,False
ENQ-00155,2024-06-03,Phone,Viewing Request,0.4,Agent_05,RK-0011,False
ENQ-00156,2025-01-21,Email,Design Consultation,6.1,Agent_15,RK-0387,False
ENQ-00157,2025-06-12,Contact Form,Design Consultation,14.5,Agent_38,RK-0328,False
ENQ-00158,2025-06-30,Email,Viewing Request,9.5,Agent_38,RK-0364,True
ENQ-00159,2025-06-29,Email,Design Consultation,1.0,Agent_31,RK-0371,False
ENQ-00160,2025-05-30,Email,Design Consultation,10.0,Agent_04,RK-0338,False
ENQ-00161,2025-10-03,Email,Design Consultation,1.6,Agent_11,RK-0447,True
ENQ-00162,2025-10-13,Contact Form,Availability Check,3.3,Agent_36,RK-0010,False
ENQ-00163,2024-04-21,Email,Viewing Request,4.6,Agent_14,RK-0240,False
ENQ-00164,2025-10-22,Email,Viewing Request,17.9,Agent_23,RK-0135,False
ENQ-00165,2025-02-13,WhatsApp,Viewing Request,1.9,Agent_44,RK-0330,False
ENQ-00166,2025-01-12,Email,Availability Check,1.0,Agent_10,RK-0120,False
ENQ-00167,2024-09-04,Email,Viewing Request,4.9,Agent_33,RK-0443,False
ENQ-00168,2024-12-17,WhatsApp,Viewing Request,0.9,Agent_42,RK-0032,False
ENQ-00169,2024-01-25,Email,Viewing Request,1.0,Agent_23,RK-0477,False
ENQ-00170,2025-03-30,Contact Form,General Enquiry,2.4,Agent_33,RK-0229,True
ENQ-00171,2025-03-10,Contact Form,Availability Check,3.2,Agent_24,RK-0072,True
ENQ-00172,2025-11-14,Email,Pricing Question,40.0,Agent_02,RK-0186,False
ENQ-00173,2024-06-09,WhatsApp,Design Consultation,1.0,Agent_19,RK-0210,False
ENQ-00174,2024-10-01,Email,Viewing Request,1.5,Agent_12,RK-0280,False
ENQ-00175,2025-06-13,Phone,Availability Check,0.8,Agent_13,RK-0339,False
ENQ-00176,2024-03-30,Contact Form,Viewing Request,11.1,Agent_02,RK-0459,False
ENQ-00177,2025-08-16,Contact Form,Availability Check,1.0,Agent_37,RK-0391,False
ENQ-00178,2024-03-28,Email,Viewing Request,11.0,Agent_09,RK-0032,False
ENQ-00179,2025-01-31,WhatsApp,General Enquiry,2.9,Agent_46,RK-0178,False
ENQ-00180,2025-09-30,WhatsApp,Pricing Question,1.1,Agent_15,RK-0240,False
ENQ-00181,2025-12-10,Contact Form,Viewing Request,7.7,Agent_37,RK-0151,False
ENQ-00182,2025-05-10,Email,Pricing Question,15.0,Agent_13,RK-0151,False
ENQ-00183,2024-07-07,Phone,General Enquiry,1.7,Agent_42,RK-0409,True
ENQ-00184,2025-08-24,WhatsApp,General Enquiry,0.5,Agent_12,RK-0325,False
ENQ-00185,2025-11-24,WhatsApp,Viewing Request,11.3,Agent_34,RK-0333,False
ENQ-00186,2024-12-30,WhatsApp,Pricing Question,8.4,Agent_04,RK-0181,False
ENQ-00187,2025-07-21,WhatsApp,General Enquiry,18.0,Agent_43,RK-0377,False
ENQ-00188,2025-02-02,Email,Pricing Question,2.7,Agent_12,RK-0004,False
ENQ-00189,2024-10-07,Contact Form,Viewing Request,7.9,Agent_09,RK-0061,False
ENQ-00190,2025-05-24,Email,Pricing Question,11.3,Agent_04,RK-0349,False
ENQ-00191,2025-03-04,Email,Viewing Request,20.6,Agent_05,RK-0354,False
ENQ-00192,2024-06-15,WhatsApp,Viewing Request,9.2,Agent_24,RK-0419,False
ENQ-00193,2024-03-30,Contact Form,Availability Check,4.3,Agent_49,RK-0059,False
ENQ-00194,2024-07-17,Email,General Enquiry,1.1,Agent_31,RK-0239,False
ENQ-00195,2024-06-16,Email,Availability Check,15.6,Agent_49,RK-0380,False
ENQ-00196,2025-11-27,WhatsApp,General Enquiry,1.8,Agent_30,RK-0492,False
ENQ-00197,2025-12-07,WhatsApp,Viewing Request,6.0,Agent_49,RK-0076,False
ENQ-00198,2025-12-08,Phone,Viewing Request,1.8,Agent_20,RK-0207,False
ENQ-00199,2025-06-11,Contact Form,Viewing Request,5.1,Agent_13,RK-0403,False
ENQ-00200,2025-02-05,Email,Availability Check,10.1,Agent_19,RK-0365,False
ENQ-00201,2025-03-03,Email,Pricing Question,13.7,Agent_10,RK-0480,False
ENQ-00202,2024-08-18,Phone,Pricing Question,1.2,Agent_21,RK-0392,True
ENQ-00203,2024-03-18,Email,Viewing Request,1.0,Agent_05,RK-0058,True
ENQ-00204,2025-04-23,Contact Form,General Enquiry,4.9,Agent_19,RK-0484,False
ENQ-00205,2025-10-14,WhatsApp,General Enquiry,1.7,Agent_49,RK-0292,False
ENQ-00206,2024-09-22,Contact Form,General Enquiry,12.3,Agent_27,RK-0021,False
ENQ-00207,2024-03-20,Phone,Availability Check,0.6,Agent_25,RK-0156,False
ENQ-00208,2025-06-13,Email,Complaint,13.9,Agent_33,RK-0193,False
ENQ-00209,2025-03-01,Contact Form,Viewing Request,1.3,Agent_45,RK-0486,True
ENQ-00210,2025-03-11,Email,General Enquiry,5.1,Agent_48,RK-0471,False
ENQ-00211,2025-01-07,Contact Form,General Enquiry,1.0,Agent_02,RK-0275,False
ENQ-00212,2024-04-27,Email,Complaint,6.2,Agent_17,RK-0283,False
ENQ-00213,2025-07-28,WhatsApp,Design Consultation,0.7,Agent_18,RK-0373,False
ENQ-00214,2024-03-21,Phone,Viewing Request,0.1,Agent_25,RK-0197,True
ENQ-00215,2024-07-14,WhatsApp,Viewing Request,2.4,Agent_14,RK-0325,False
ENQ-00216,2024-02-26,WhatsApp,Viewing Request,5.7,Agent_11,RK-0099,True
ENQ-00217,2025-10-02,Email,Pricing Question,12.2,Agent_24,RK-0188,False
ENQ-00218,2025-12-26,WhatsApp,Pricing Question,3.7,Agent_21,RK-0433,False
ENQ-00219,2025-06-05,Email,Viewing Request,8.4,Agent_22,RK-0146,False
ENQ-00220,2024-01-27,WhatsApp,Availability Check,6.2,Agent_18,RK-0428,False
ENQ-00221,2025-04-23,WhatsApp,Pricing Question,0.5,Agent_38,RK-0443,False
ENQ-00222,2025-12-13,Email,Complaint,25.4,Agent_05,RK-0398,False
ENQ-00223,2024-01-04,WhatsApp,Pricing Question,6.6,Agent_02,RK-0235,False
ENQ-00224,2024-06-07,Email,Design Consultation,1.0,Agent_04,RK-0463,False
ENQ-00225,2024-01-01,WhatsApp,Viewing Request,8.9,Agent_44,RK-0178,True
ENQ-00226,2025-01-14,Phone,Pricing Question,0.6,Agent_30,RK-0108,False
ENQ-00227,2024-07-14,Contact Form,Viewing Request,15.2,Agent_39,RK-0119,True
ENQ-00228,2025-05-12,Contact Form,Design Consultation,1.9,Agent_44,RK-0271,True
ENQ-00229,2025-11-20,Contact Form,Pricing Question,22.2,Agent_22,RK-0074,True
ENQ-00230,2025-05-23,Email,Pricing Question,7.7,Agent_02,RK-0004,True
ENQ-00231,2025-08-22,Email,Viewing Request,4.2,Agent_10,RK-0393,False
ENQ-00232,2025-12-23,Email,General Enquiry,16.4,Agent_35,RK-0259,False
ENQ-00233,2024-06-16,WhatsApp,Pricing Question,0.9,Agent_25,RK-0296,True
ENQ-00234,2024-05-20,Contact Form,Availability Check,3.0,Agent_35,RK-0337,False
ENQ-00235,2025-08-11,Contact Form,Pricing Question,9.5,Agent_26,RK-0022,False
ENQ-00236,2025-03-14,Phone,General Enquiry,4.1,Agent_05,RK-0084,False
ENQ-00237,2024-01-13,Email,Availability Check,7.5,Agent_10,RK-0353,False
ENQ-00238,2024-12-01,Contact Form,Viewing Request,2.4,Agent_26,RK-0011,False
ENQ-00239,2024-04-26,Contact Form,Availability Check,5.9,Agent_08,RK-0031,False
ENQ-00240,2024-03-06,Phone,Viewing Request,1.1,Agent_34,RK-0434,False
ENQ-00241,2025-01-30,Email,General Enquiry,16.2,Agent_23,RK-0091,False
ENQ-00242,2024-06-14,WhatsApp,Design Consultation,0.5,Agent_49,RK-0349,False
ENQ-00243,2024-02-18,WhatsApp,Pricing Question,2.3,Agent_39,RK-0274,False
ENQ-00244,2025-01-07,Phone,Pricing Question,0.4,Agent_15,RK-0170,False
ENQ-00245,2024-10-26,WhatsApp,Viewing Request,0.5,Agent_35,RK-0098,False
ENQ-00246,2024-12-15,WhatsApp,Viewing Request,7.2,Agent_28,RK-0181,True
ENQ-00247,2025-10-21,WhatsApp,Viewing Request,0.5,Agent_27,RK-0410,False
ENQ-00248,2025-03-01,Phone,Viewing Request,0.5,Agent_28,RK-0226,False
ENQ-00249,2024-08-11,WhatsApp,Viewing Request,4.0,Agent_29,RK-0182,False
ENQ-00250,2024-06-27,Contact Form,Pricing Question,12.5,Agent_29,RK-0372,False
ENQ-00251,2025-03-17,Email,Viewing Request,4.2,Agent_38,RK-0046,True
ENQ-00252,2024-06-12,WhatsApp,Availability Check,3.1,Agent_35,RK-0291,False
ENQ-00253,2025-09-06,WhatsApp,Design Consultation,2.7,Agent_02,RK-0210,True
ENQ-00254,2025-05-23,Contact Form,Viewing Request,4.5,Agent_38,RK-0189,False
ENQ-00255,2024-04-23,Email,Availability Check,1.0,Agent_06,RK-0496,False
ENQ-00256,2025-01-23,Contact Form,Availability Check,8.7,Agent_38,RK-0255,False
ENQ-00257,2025-08-06,Email,Availability Check,1.0,Agent_16,RK-0421,True
ENQ-00258,2024-02-16,Phone,Pricing Question,0.6,Agent_21,RK-0322,False
ENQ-00259,2025-11-08,Contact Form,Availability Check,1.2,Agent_25,RK-0395,False
ENQ-00260,2025-08-31,Contact Form,Viewing Request,1.0,Agent_21,RK-0448,False
ENQ-00261,2024-09-20,WhatsApp,Pricing Question,1.3,Agent_48,RK-0265,True
ENQ-00262,2025-10-27,WhatsApp,Design Consultation,6.1,Agent_45,RK-0374,False
ENQ-00263,2025-02-10,Contact Form,Viewing Request,6.0,Agent_48,RK-0166,False
ENQ-00264,2025-01-07,Email,Pricing Question,7.3,Agent_24,RK-0461,True
ENQ-00265,2024-08-07,WhatsApp,Availability Check,6.7,Agent_42,RK-0164,False
ENQ-00266,2024-02-27,Email,Availability Check,15.6,Agent_01,RK-0087,False
ENQ-00267,2025-10-26,Email,General Enquiry,6.9,Agent_06,RK-0053,False
ENQ-00268,2025-05-20,WhatsApp,General Enquiry,3.4,Agent_20,RK-0103,False
ENQ-00269,2024-07-30,WhatsApp,Pricing Question,9.5,Agent_45,RK-0478,False
ENQ-00270,2024-02-15,WhatsApp,Viewing Request,2.9,Agent_45,RK-0410,False
ENQ-00271,2025-06-19,Email,Design Consultation,5.6,Agent_16,RK-0488,True
ENQ-00272,2024-08-30,Email,Viewing Request,9.2,Agent_11,RK-0193,False
ENQ-00273,2024-04-24,Phone,General Enquiry,0.2,Agent_11,RK-0466,False
ENQ-00274,2024-10-23,Contact Form,Availability Check,2.3,Agent_03,RK-0204,False
ENQ-00275,2025-06-21,Email,General Enquiry,1.8,Agent_07,RK-0416,False
ENQ-00276,2025-05-12,WhatsApp,Viewing Request,2.2,Agent_35,RK-0112,False
ENQ-00277,2024-02-05,Email,Viewing Request,4.4,Agent_01,RK-0325,True
ENQ-00278,2025-06-17,Contact Form,Design Consultation,14.7,Agent_36,RK-0164,True
ENQ-00279,2025-11-22,WhatsApp,Pricing Question,3.2,Agent_22,RK-0066,False
ENQ-00280,2025-01-18,Email,Viewing Request,1.0,Agent_26,RK-0085,False
ENQ-00281,2024-07-06,Contact Form,General Enquiry,38.3,Agent_37,RK-0002,False
ENQ-00282,2024-08-25,Contact Form,Availability Check,2.1,Agent_47,RK-0435,False
ENQ-00283,2024-10-23,WhatsApp,General Enquiry,1.4,Agent_12,RK-0029,False
ENQ-00284,2024-01-12,Email,Design Consultation,22.0,Agent_10,RK-0171,False
ENQ-00285,2024-12-27,WhatsApp,Viewing Request,0.5,Agent_09,RK-0062,False
ENQ-00286,2024-04-23,WhatsApp,Viewing Request,3.8,Agent_29,RK-0335,False
ENQ-00287,2024-03-22,Contact Form,Viewing Request,18.3,Agent_11,RK-0270,False
ENQ-00288,2025-09-17,Contact Form,Viewing Request,1.0,Agent_18,RK-0442,False
ENQ-00289,2025-07-23,Email,General Enquiry,1.0,Agent_14,RK-0353,False
ENQ-00290,2025-06-03,Contact Form,Design Consultation,1.2,Agent_31,RK-0045,False
ENQ-00291,2024-02-01,WhatsApp,Availability Check,0.7,Agent_29,RK-0131,False
ENQ-00292,2024-09-09,Email,Pricing Question,31.9,Agent_46,RK-0068,False
ENQ-00293,2024-05-20,Phone,Viewing Request,0.1,Agent_02,RK-0445,True
ENQ-00294,2024-06-20,Email,Availability Check,21.1,Agent_18,RK-0333,False
ENQ-00295,2024-02-27,Email,Availability Check,32.9,Agent_25,RK-0162,False
ENQ-00296,2024-03-11,Email,Availability Check,2.9,Agent_03,RK-0026,False
ENQ-00297,2025-02-11,Contact Form,Design Consultation,7.2,Agent_42,RK-0204,False
ENQ-00298,2025-03-25,Email,General Enquiry,1.3,Agent_36,RK-0104,True
ENQ-00299,2025-07-09,Phone,Viewing Request,0.2,Agent_30,RK-0264,False
ENQ-00300,2024-11-24,Email,Design Consultation,8.7,Agent_11,RK-0207,True
ENQ-00301,2024-07-29,Email,Viewing Request,7.1,Agent_19,RK-0384,False
ENQ-00302,2025-02-16,Contact Form,Design Consultation,4.7,Agent_19,RK-0097,False
ENQ-00303,2025-10-08,Contact Form,Viewing Request,2.2,Agent_28,RK-0373,False
ENQ-00304,2024-10-08,Contact Form,Design Consultation,1.0,Agent_43,RK-0279,True
ENQ-00305,2024-01-18,Email,Availability Check,3.6,Agent_39,RK-0417,False
ENQ-00306,2025-02-25,Email,General Enquiry,18.8,Agent_42,RK-0216,False
ENQ-00307,2025-02-28,Contact Form,Viewing Request,5.0,Agent_29,RK-0186,False
ENQ-00308,2024-05-29,Contact Form,Pricing Question,21.9,Agent_14,RK-0278,False
ENQ-00309,2025-03-30,Email,General Enquiry,4.9,Agent_10,RK-0183,False
ENQ-00310,2024-03-19,Contact Form,General Enquiry,21.7,Agent_34,RK-0291,False
